result_group,item,status,source_path,copied_path,seeds,raw_available,script_available,quoted_value_matches,notes
cifar_sensitivity,Block-level ranges (acc 94.76-95.59; Near AUROC 89.3-91.6; Far AUROC 92.0-95.1),MISSING,-,-,-,no,no,NO,"No target-block sweep exists here. The recovered SCALE sweep happens to span similar Near/Far AUROC ranges (89.3-91.8 / 92.2-95.2) but a different accuracy range (94.89-95.85), so it is not the same experiment."
cifar_sensitivity,ID-validation-only selection record,FOUND_VERIFIED,"results/cifar10/*.json protocol block; pnc_core/util.py:159-207",revision_results/cifar_sensitivity/cifar10_openood_recovered_from_git.csv,"0,1,2",yes,yes,n/a,"Every recovered JSON records ood_validation_used=false and ood_tuning_used=false and temperature_fit_split='id_validation_only'."
scod,MuJoCo SCOD per-env per-seed results,FOUND_VERIFIED,results/posthoc_mujoco/scod/predictions/<env>/<seed>/_metrics.json,revision_results/scod/scod_mujoco_per_seed.csv,"0,10,200",yes,yes,YES,"33 runs, 11 envs, 0 failures. Near/Mid/Far AUROC, Far Spearman, ID and Far mean scores all retained."
scod,SCOD selected hyperparameters,FOUND_VERIFIED,same _metrics.json 'selected' block,revision_results/scod/scod_mujoco_per_seed.csv,"0,10,200",yes,yes,n/a,"(k, Meps, alpha) per env-seed; selection metric = ID validation NLL; used_ood_for_selection=false on every run."
scod,Mean Far AUROC SCOD = 0.512,FOUND_VERIFIED,recomputed from 33 runs,revision_results/scod/scod_quoted_value_checks.csv,"0,10,200",yes,yes,YES,Recomputed 0.5121 vs quoted 0.512.
scod,Mean Far AUROC P&C = 0.922,FOUND_CONFLICTING,results/neurips_2026_rebuttal/mujoco_sensitivity/aggregates/far_sensitivity_raw.csv.pre_bootfull_merge.bak,revision_results/mujoco_sensitivity/far_sensitivity_raw_11720rows_CANONICAL_FOR_QUOTED_NUMBERS.csv,27,yes,yes,YES (against the 11720-row snapshot only),"The 11720-row snapshot gives 0.9215 -> 0.922. The CURRENT 14520-row far_sensitivity_raw.csv gives 0.9197. The snapshot is the canonical source for every quoted P&C Far AUROC."
scod,"Per-env pairs Ant/Hopper/Humanoid/Pusher",FOUND_VERIFIED,SCOD_REPORT.md section 6 + both raw sources,revision_results/scod/scod_vs_pnc_mujoco_by_environment.csv,"SCOD 3, P&C 27",yes,yes,YES,All eight quoted values reproduce to <=0.0013.
scod,Far/ID SCOD mean-score ratio (Hopper 0.32 / Ant 0.50),FOUND_VERIFIED,_metrics.json mean_uncertainty fields,revision_results/scod/scod_vs_pnc_mujoco_by_environment.csv,"0,10,200",yes,yes,YES,"Recomputed 0.3203 and 0.4999. NOTE: SCOD_REPORT.md section 5 prose says Ant '0.22x', contradicting its own table (0.50). The table value is the one quoted."
scod,P&C exceeds SCOD on 11/11 environments,FOUND_VERIFIED,recomputed,revision_results/scod/scod_vs_pnc_mujoco_by_environment.csv,"SCOD 3, P&C 27",yes,yes,YES,"Confirmed 11/11 under both the 27-seed and the seed-matched {0,10,200} P&C aggregation."
scod,Matched base checkpoints claim,FOUND_UNVERIFIED,results/posthoc_mujoco/scod/SCOD_REPORT.md section 9,revision_results/scod/SCOD_REPORT.md,"0,10,200",no,n/a,n/a,"The report states the ORIGINAL checkpoints were lost to a filesystem event and all 33 runs use a regenerated canonical batch. SCOD and the P&C sensitivity anchor therefore do NOT share bit-identical checkpoints."
scod,CIFAR-10 SCOD vs P&C (3 checkpoints),MISSING,-,-,-,no,no,NO,"No CIFAR SCOD artifact of any kind exists on this machine. Run on the other machine. Quoted SCOD 95.74/89.69/39.40/92.56/21.41 and P&C 95.69/90.99/37.39/94.83/19.52 are unverifiable here."
efficiency,MuJoCo matched-M construction accounting (Ant/HalfCheetah/Hopper),FOUND_VERIFIED,results/neurips_2026_rebuttal/efficiency_v2/efficiency_v2_rows.csv,revision_results/efficiency/mujoco_construction_normalized.csv,0,yes,yes,YES,"MEASURED. base_train_s + build_s per method; 50 nets actually trained for the Deep Ensemble."
efficiency,P&C ~47-62x cheaper than matched 50-member Deep Ensemble,FOUND_VERIFIED,efficiency_v2_rows.csv,revision_results/efficiency/mujoco_construction_normalized.csv,0,yes,yes,YES,"Recomputed 46.8x (Hopper) - 61.7x (Ant); HalfCheetah 49.0x. Rounds to the quoted 47-62x."
efficiency,MuJoCo SWAG / Laplace construction time,FOUND_VERIFIED,efficiency_v2_rows.csv + efficiency_construction_mujoco.csv,revision_results/efficiency/mujoco_construction_normalized.csv,"0 (v2); 0,10,42 (v1)",yes,yes,n/a,MEASURED.
efficiency,MuJoCo persistent compact representation size,FOUND_VERIFIED,"efficiency_v2_rows.csv minimal_ckpt_mb, storage_mb; efficiency_storage.csv",revision_results/efficiency/efficiency_storage.csv,0,yes,yes,n/a,"DERIVED from parameter counts. Distinguishes implemented (16.8 MB Ant) from theoretical-minimal (7.15 MB, labelled not-yet-implemented)."
efficiency,MuJoCo reconstruction time,MISSING,-,-,-,no,no,n/a,"No artifact separates 'reconstruct member weights from the compact representation' from total build_s."
efficiency,MuJoCo materialized memory,MISSING,-,-,-,no,no,n/a,No memory instrumentation exists in the MuJoCo efficiency runs.
efficiency,CIFAR inference latency SWAG 7.33 / Laplace 7.68,FOUND_VERIFIED,results/cifar10/inference_cost.json @ git HEAD,revision_results/efficiency/cifar10_inference_cost_RECOVERED_FROM_GIT_HEAD.json,0,yes,yes,YES,"MEASURED. warm_per_sample_ms 7.3253 and 7.6797 over 5000 benchmark samples."
efficiency,CIFAR inference latency P&C 7.53 / Deep Ensemble 7.26,FOUND_CONFLICTING,results/cifar10/inference_cost.json @ git HEAD,revision_results/efficiency/cifar10_inference_cost_RECOVERED_FROM_GIT_HEAD.json,0,yes,yes,NO,"This file gives P&C single-block 7.4186 and multi-block 9.6881, and Deep Ensemble n=5 = 1.3380. A matched M=50 Deep Ensemble was never benchmarked here. The quoted pair must come from a later CIFAR-machine run."
efficiency,CIFAR base-model training time 8010 s,MISSING,-,-,-,no,no,NO,"The string 8010 does not occur in any CIFAR artifact. No CIFAR training-time record exists on this machine."
efficiency,CIFAR P&C construction time (~100 s upper bound),MISSING,-,-,-,no,no,NO,No CIFAR construction-time artifact exists here.
efficiency,CIFAR Deep Ensemble / SWAG / Laplace construction timing,PARTIAL,results/cifar10/baseline_*.json @ git HEAD,revision_results/cifar_sensitivity/raw_json_from_git/,"0,1,2",yes,n/a,NO,"Recovered baseline JSONs carry a train_time field, but per cifar_tasks.py the CIFAR DE train_time is checkpoint-load only and SWAG's excludes trajectory collection - so they are NOT construction times."
efficiency,CIFAR persistent disk storage / materialized GPU memory / peak GPU memory,MISSING,-,-,-,no,no,NO,No CIFAR storage or memory measurement exists on this machine.
efficiency,Hardware and software environment,FOUND_VERIFIED,results/neurips_2026_rebuttal/PROVENANCE.md; efficiency_v2_rows.csv device column,revision_results/provenance/PROVENANCE_original.md,n/a,yes,n/a,n/a,"NVIDIA TITAN X (Pascal) 12288 MiB, i7-12700KF, 15Gi RAM, WSL2, Python 3.12.3, JAX 0.9.1, Torch 2.11.0+cu130."
efficiency,Repetitions and timing methodology,PARTIAL,"efficiency_v2 JSONs; inference_cost.json (cold_warmup_s vs warm_total_s, n_bench_samples=5000)",revision_results/efficiency/,0,yes,yes,n/a,"Cold/warm separation and sample count recorded; the number of timing repetitions per measurement is not recorded for the MuJoCo runs."
distilbert,DistilBERT Banking77 checkpoint identity,FOUND_VERIFIED,results/banking77_distilbert_pnc/TRANSFORMER_FULL_REPORT.md section 2,revision_results/distilbert/TRANSFORMER_FULL_REPORT.md,n/a,yes,yes,YES,"optimum/distilbert-base-uncased-finetuned-banking77 @ 89565753ee34239b4ab70c9c90317085cc0f4f8e, 67,012,685 params, 77 labels. PyTorch->Flax parity max logit diff 7.2e-06."
distilbert,Corrected internal-FFN P&C ID metrics (92.5 / 0.301 / 0.031),FOUND_VERIFIED,results/banking77_distilbert_pnc/metrics/raw.csv -> tables/banking77_pnc.csv,revision_results/distilbert/distilbert_quoted_value_checks.csv,"0,10,42,123,2026",yes,yes,YES,All three reproduce exactly.
distilbert,Uncorrected perturbation ID metrics (92.1 / 1.079 / 0.525),FOUND_VERIFIED,same,revision_results/distilbert/distilbert_quoted_value_checks.csv,"0,10,42,123,2026",yes,yes,YES,All three reproduce exactly.
distilbert,"CLINC-OOS Near/Cross/Far for P&C, MC Dropout, Energy",FOUND_VERIFIED,same,revision_results/distilbert/distilbert_quoted_value_checks.csv,"0,10,42,123,2026",yes,yes,YES,All nine reproduce exactly.
distilbert,Other baselines (MSP / Entropy / Head P&C),FOUND_VERIFIED,tables/banking77_pnc.csv,revision_results/distilbert/banking77_pnc.csv,"0,10,42,123,2026",yes,yes,n/a,Present but not quoted in the rebuttal.
distilbert,"Target FFN layer, perturbation scale/rank/ridge/bootstrap",FOUND_VERIFIED,TRANSFORMER_FULL_REPORT.md section 3,revision_results/distilbert/TRANSFORMER_FULL_REPORT.md,n/a,yes,yes,n/a,"Layer-5 FFN: perturb lin1 [768,3072] rank-20, correct (lin2.kernel, lin2.bias); ridge 1e-3 toward original; full bootstrap; M=20, K=20; scale selected by ID-val NLL."
distilbert,Correction-set construction and OOD tier definitions,FOUND_VERIFIED,TRANSFORMER_FULL_REPORT.md section 2 + experiments/banking77_pnc/clinc_domains.json,revision_results/distilbert/clinc_domains.json,n/a,yes,yes,n/a,"10003 train -> 9000 calibration / 1003 ID-val (stratified, seed 20260726); 3080 test. Near = banking + credit_cards; Cross = non-financial in-scope; Far = official oos."
distilbert,Per-seed outputs and aggregation code,FOUND_VERIFIED,results/banking77_distilbert_pnc/metrics/raw.csv; experiments/banking77_pnc/aggregate.py,revision_results/distilbert/metrics_raw_per_seed.csv,"0,10,42,123,2026",yes,yes,n/a,176 per-seed rows.
distilbert,Command used to run the experiment,FOUND_VERIFIED,experiments/banking77_pnc/run_queue.sh,revision_results/distilbert/script_run_queue.sh,n/a,yes,yes,n/a,
mechanism,"HalfCheetah-v5 / Hopper-v5 distance-disagreement replication",FOUND_VERIFIED,results/neurips_2026_rebuttal/priority3/,revision_results/mechanism/mechanism_second_domain.csv,0,yes,yes,YES,"40,000 points per env (10k each ID/Near/Mid/Far). All eight quoted values reproduce exactly."
mechanism,Point-level data,FOUND_VERIFIED,priority3/mechanism_<env>_seed0.csv,revision_results/mechanism/mechanism_HalfCheetah-v5_seed0.csv,0,yes,yes,n/a,"Columns env, seed, regime, distance_mahal, disagreement_sqrt_predvar; 40,000 rows each."
mechanism,"Mahalanobis implementation, regression spec, standard errors",FOUND_VERIFIED,scripts/neurips_2026_rebuttal/priority3_mechanism.py,revision_results/mechanism/script_priority3_mechanism.py,0,yes,yes,n/a,"Regularized hidden-space Mahalanobis at the P&C calibration layer (layer_idx=2); regime-controlled OLS of disagreement on log10 distance."
mechanism,Plots and plotting scripts for the replication,MISSING,-,-,-,n/a,no,n/a,No figure or plotting script was produced for the HalfCheetah/Hopper replication.
mechanism,Random vs Low broadened beyond Ant-v5,FOUND_UNVERIFIED,experiments/random_vs_low_evidence.md,revision_results/mechanism/random_vs_low_evidence.md,"5 seeds x 3 envs",yes,yes,n/a,"Ant / HalfCheetah / Hopper, 5 seeds, val-NLL-best bucket per seed; Far AUROC and Far NLL for Low vs Random plus mechanism diagnostics. This is a broadening, but it is NOT the Figure 3(C) scale-sweep design and its scale axis is a selected bucket rather than a swept grid. Do not present as a direct Fig 3(C) extension without re-checking the definition of 'Low'."
mechanism,Definition of 'Low' / suppressible directions,FOUND_VERIFIED,"pnc_core/gym_tasks.py:921 (find_pnc_subspace_lanczos); random_vs_low_evidence.md",revision_results/mechanism/random_vs_low_evidence.md,n/a,yes,yes,n/a,"Low = Lanczos bottom-eigenvector subspace of J^T (I - P_M) J on a 4096-point ID subset, coefficients rescaled by the bottom eigenvalues."
finite_scale_validation,Exact finite-scale identity relative error,FOUND_VERIFIED,pnc_theory_reports/THEOREM_VALIDATION.md + artifacts/finite_transfer/mujoco_tier1_v2/identity.csv,revision_results/finite_scale_validation/,"THEOREM_VALIDATION: 0. identity.csv: 0,10,42,100,200",partial,yes,RECOVERED,"The number lost to OpenReview formatting is ~1e-13 relative (float64): Eq2/4 residual ID median 9.4e-14 (Ant), 5.4e-13 (HalfCheetah), 8.2e-13 (Hopper); Near/Mid/Far medians 7.3e-14 / 6.9e-14 / 5.2e-14 on Ant; max <= 2.3e-11."
finite_scale_validation,Distribution of identity errors (not just the aggregate),FOUND_VERIFIED,artifacts/finite_transfer/mujoco_tier1_v2/identity.csv,revision_results/finite_scale_validation/finite_identity_mujoco_tier1_v2.csv,"0,10,42,100,200",yes,yes,n/a,"800 rows: per env x seed x member x variant x dtype, with max/mean/Frobenius-relative error columns. float64 exact_rel_fro median 5.97e-12, max 8.31e-11."
finite_scale_validation,Downstream-Jacobian propagated residual,FOUND_UNVERIFIED,pnc_theory_reports/THEOREM_VALIDATION.md section 1.9/B.1,revision_results/finite_scale_validation/THEOREM_VALIDATION.md,0,NO,yes,YES,"Delta_y vs J_down * r_1. The raw JSONs (artifacts/pnc_theory/bridge/) are ABSENT from disk and were never committed; only the transcribed report table survives. Regenerable via script_validate_bridge.py - base models are present."
finite_scale_validation,Cosine alignment 0.97-1.00,FOUND_UNVERIFIED,pnc_theory_reports/THEOREM_VALIDATION.md section 1.9/B.1 table,revision_results/finite_scale_validation/THEOREM_VALIDATION.md,0,NO,yes,YES,"Ant 1.00 (all regimes/scales), Hopper 0.99-1.00, HalfCheetah 0.97-1.00 -> exactly the quoted 0.97-1.00 range. Report-level only; raw data absent."
finite_scale_validation,Coverage: all MuJoCo environments x 3 seeds,FOUND_CONFLICTING,-,revision_results/finite_scale_validation/,varies,partial,yes,NO,"The cosine/Jacobian evidence covers 3 envs (Ant, Hopper, HalfCheetah) at seed 0 only. identity.csv covers 4 envs x 5 seeds but only correction stage 0 and carries no regime column. Neither is '11 environments x 3 seeds x 4 regimes x 2 stages'."
finite_scale_validation,Both sequential correction stages,FOUND_VERIFIED,pnc_theory_reports/MULTILAYER_THEORY_VALIDATION.md,revision_results/finite_scale_validation/MULTILAYER_THEORY_VALIDATION.md,0,no,yes,n/a,"Stage b (l3->l4) under cumulative upstream perturbation: 1e-13 to 1e-12 relative error, ID and Far, Ant/Hopper/HalfCheetah seed 0. Raw JSONs also absent."
finite_scale_validation,Numerator/denominator of the relative error; near-zero residual handling,FOUND_VERIFIED,analysis/finite_transfer/finite_identity.py; reports/finite_transfer/METHODS.md,revision_results/finite_scale_validation/script_finite_identity.py,n/a,yes,yes,n/a,"Frobenius-relative: ||predicted - actual||_F / ||actual||_F, with a literal and a regime-correct SVD form reported separately so the ridge-convention distinction stays visible."
finite_scale_validation,Derivation-check scripts and unit tests,FOUND_VERIFIED,experiments/scripts/pnc_theory/test_linalg.py; analysis/finite_transfer/tests/,revision_results/finite_scale_validation/unittest_test_linalg.py,n/a,yes,yes,n/a,"189/189 core unit tests to <=1e-8 (<=1e-13 well-conditioned) per THEOREM_VALIDATION.md."
shift_tiers,"P&C Near/Mid/Far tiers, Ant/HalfCheetah/Hopper",FOUND_VERIFIED,results/neurips_2026_rebuttal/priority5_pnc_tiers.csv,revision_results/shift_tiers/priority5_pnc_tiers.csv,"0,10,42,100,200",yes,yes,YES,"All nine quoted illustrative AUROC values reproduce exactly (Ant 0.750/0.825/0.997; HalfCheetah 0.742/0.946/0.988; Hopper 0.798/0.861/0.951)."
shift_tiers,Newer aggregation of the same quantity,FOUND_CONFLICTING,far_sensitivity_raw.csv anchor rows,revision_results/mujoco_sensitivity/far_sensitivity_raw.csv,27,yes,yes,NO,"The later 11-env 27-seed corrected-anchor study gives Far AUROC Ant 0.998, HalfCheetah 0.987, Hopper 0.980 - materially different from 0.997/0.988/0.951 on Hopper. Different anchor (bf/lambda/pool), different seed set."
shift_tiers,All-methods table for all 11 environments,PARTIAL,"results/neurips_2026_rebuttal/priority5_full_mujoco_tables.csv (3 envs, 44 methods); pnc_repro/figures/appendix_per_env_table_paper.txt (11 envs, 6 methods)",revision_results/shift_tiers/,varies,yes,yes,n/a,"No single artifact has all methods x all 11 envs x Near/Mid/Far. The 11-env table reports only ID RMSE, Far NLL and Far AUROC - no Near or Mid columns."
shift_tiers,Near/Mid/Far Spearman for all methods,MISSING,-,-,-,no,no,n/a,Only Far Spearman is computed anywhere in the harness.
shift_tiers,Environments without a distinct Mid tier,FOUND_VERIFIED,pnc_core/data.py Minari mapping; mujoco_sensitivity/MANIFEST.md,revision_results/shift_tiers/mid_tier_availability.csv,n/a,yes,yes,n/a,"Five lack a 'simple' Minari dataset: Swimmer, Reacher, Pusher, InvertedPendulum, InvertedDoublePendulum. CAVEAT: HumanoidStandup and Walker2d DO have Mid available but were not run with it, so seven envs have empty Mid columns in far_sensitivity_raw.csv."
shift_tiers,Selected hyperparameters and validation criterion,FOUND_CONFLICTING,"pnc_repro/figures/appendix_selected_hparams_paper.txt; mujoco_sensitivity/anchors.json",revision_results/shift_tiers/appendix_selected_hparams_paper.txt,10-28 per env,yes,yes,n/a,"Agree on 10 of 11 envs. HumanoidStandup-v5 disagrees: appendix says lreg=1e-4, bf=0.3, ps=32.0; anchors.json (and every executed sweep row) says lreg=1e-2, bf=0.20, ps=8.0."
shift_tiers,Table-generation script,FOUND_VERIFIED,"scripts/neurips_2026_rebuttal/priority5_full_mujoco_tables.py; pnc_core/json_to_tex_table.py",revision_results/shift_tiers/script_priority5_full_mujoco_tables.py,n/a,yes,yes,n/a,Selection by minimum ID validation NLL (nll_val) with nll_id fallback.
layer_scope,MuJoCo single vs multi block quoted averages,FOUND_VERIFIED,results/neurips_2026_rebuttal/priority1/sensitivity_mujoco.csv rows sweep=='layer',revision_results/layer_scope/layer_scope_quoted_value_checks.csv,"0,10,42",yes,yes,YES,"All six quoted values reproduce to three decimals - but ONLY from HalfCheetah-v5 with three seeds. The rebuttal's phrase 'average AUROC' is a single-environment average, not an average over environments."
layer_scope,MuJoCo per-environment / per-seed layer source values,FOUND_CONFLICTING,far_sensitivity_raw.csv factor=='layer',revision_results/layer_scope/sourceB_11env_27seed_layer_by_environment.csv,27,yes,yes,NO,"The larger 11-env 27-seed sweep gives single 0.764/0.815/0.904 and multi 0.799/0.843/0.922 - it does not reproduce the quoted averages under any environment subset or aggregation order tried."
layer_scope,CIFAR early/middle/late block comparison,MISSING,-,revision_results/cifar_sensitivity/OTHER_MACHINE_run_cifar_sensitivity.sh,-,no,yes,NO,"Prepared as sweep 1D (stage1/block0, stage2/block1, stage4/block1) but run on the other machine; no results here."
layer_scope,"CIFAR block identifiers, correction dimensions, compute cost",PARTIAL,pnc_core/cifar_tasks.py:1232-1233; recovered filenames tagged s3b1,revision_results/provenance/protocol_configuration_record.csv,-,no,yes,n/a,"Block identity of the default (stage 4 / block 1) is established from code and filenames. Correction dimensions and per-block compute cost were never measured here."
layer_scope,CIFAR final block selected by ID validation only,PARTIAL,"pnc_core/cifar_tasks.py:1606-1626 CIFARSelectPnCPaperProtocol; recovered JSON protocol flags",revision_results/cifar_sensitivity/cifar10_openood_recovered_from_git.csv,"0,1,2",yes,yes,n/a,"The selector ranks candidates by ID metrics and no OOD data enters selection. But the submitted table reports single- and multi-block as two fixed named rows, so no log establishes that block mode was CHOSEN by ID validation rather than fixed a priori."
provenance,MuJoCo correction pool 4096 sampled without replacement,FOUND_VERIFIED,pnc_core/gym_tasks.py:635/727/1245 and :679/879/1311,revision_results/provenance/protocol_configuration_record.csv,n/a,n/a,yes,n/a,"CAVEAT: the bootfull double-descent sweep ran at pool 10000, not 4096; the multi-seed wrapper also defaults to 10000."
provenance,CIFAR correction pool 1024 from the training-fit split,FOUND_VERIFIED,pnc_core/cifar_tasks.py:1230 and :1281/1449,revision_results/provenance/protocol_configuration_record.csv,n/a,n/a,yes,n/a,Overlaps base-model training data; only the 10% validation split is strictly held out.
provenance,Validation / test / OOD separation,FOUND_VERIFIED,"pnc_core/util.py:422-425; pnc_core/data.py",revision_results/provenance/protocol_configuration_record.csv,n/a,n/a,yes,n/a,"val_split=0.1 at seed=99; MuJoCo id_eval is a separate expert-v0 Minari draw."
provenance,Ensemble sizes,FOUND_VERIFIED,"anchors.json; pnc_core/cifar_tasks.py:604; efficiency_v2_rows.csv",revision_results/provenance/protocol_configuration_record.csv,n/a,n/a,yes,n/a,"P&C M=50 on both benchmarks; CIFAR Deep Ensemble n=5; matched MuJoCo Deep Ensemble M=50."
provenance,Temperature-scaling procedure,FOUND_VERIFIED,pnc_core/util.py:159-207,revision_results/provenance/protocol_configuration_record.csv,n/a,n/a,yes,n/a,Single scalar applied per member before softmax; golden-section on ID-validation NLL.
provenance,MuJoCo moment-matched Gaussian inference,FOUND_VERIFIED,pnc_core/util.py:112-120; pnc_core/metrics.py:7-15,revision_results/provenance/protocol_configuration_record.csv,n/a,n/a,yes,n/a,Law of total variance with a 1e-6 variance floor.
provenance,Predictive-variance OOD score (MuJoCo),FOUND_VERIFIED,pnc_core/util.py:256 and :304-305,revision_results/provenance/protocol_configuration_record.csv,n/a,n/a,yes,n/a,
provenance,CIFAR probability averaging and predictive-entropy score,FOUND_VERIFIED,pnc_core/util.py:560; pnc_core/openood_eval.py:24-29 and :106,revision_results/provenance/protocol_configuration_record.csv,n/a,n/a,yes,n/a,
provenance,Modified parameter sets for single- and multi-block P&C,FOUND_VERIFIED,"pnc_core/ensembles.py:538/575-576/695/1651; pnc_core/pnc.py:246-259",revision_results/provenance/protocol_configuration_record.csv,n/a,n/a,yes,n/a,
provenance,Ridge centring convention of the executed sweep,FOUND_CONFLICTING,far_sensitivity_raw.csv column ridge_center; anchors.json,revision_results/mujoco_sensitivity/far_sensitivity_raw.csv,27,yes,yes,n/a,"anchors.json and MUJOCO_FAR_SENSITIVITY_RESULTS.md both say the ridge shrinks TOWARD ORIGINAL, but all 14,520 executed rows record ridge_center='zero'. The headline sensitivity study did not use the ridge convention its own anchor file specifies."
